caption,mental_state,language
हर दिन एक नई शुरुआत है।,Normal,Hindi
"C’est la saison des fleurs, profitons-en!",Normal,English
प्यार में अक्सर दिल टूट जाता है। 💔 #दिल,Happy,Hindi
"Despair clouds the Moderate Depressionld Depressionnd, feeling adrift in an endless sea of darkness. ",Stressed,English
"Drowning in despair, hope slipping through my fingers.",Moderately Depressed,English
Enthusiastically diving into a new project.            ,Stressed,English
"खुशी एक यात्रा है, मंजिल नहीं।",Normal,Hindi
Amused by the antics of my pet??t's pure amusement!      ,Stressed,English
मैं अपने जज़्बातों का जादूगर हूँ।,Severely Depressed,Hindi
"Flipping through the pages of an old yearbook, Nostalgia painting sModerate Depressionld Depressionles and tears on my face. ",Stressed,English
"Exploring a new hiking trail with friends over the weekend. Nature, laughter, and good vibes! ",Stressed,English
"Overwhelmed by grief, Moderate Depressionld Depressionssing a loved one dearly.  ",Moderately Depressed,English
"तुम्हारी नज़रों का जादू है, जो मुझे हर बार हँसा देता है।",Moderately Depressed,Hindi
Feeling accomplished after a productive day.       ,Happy,English
Bonjour! Aujourd’hui est une belle journée.,Severely Depressed,English
"अपने ही अक्स में उलझी हूँ, या शायद खुद को ढूंढ रही हूँ।",Moderately Depressed,Hindi
"Bought a new video game, played for hours, forgot to eat. The ultimate gaModerate Depressionld Depressionng session. #GamerLife #NoFoodGaModerate Depressionld Depressionng ",Moderately Depressed,English
"अपने लक्ष्य पर ध्यान दो, बाकी सब बेकार है।",Stressed,Hindi
"प्रेम की इस राह पर हर कदम जैसे उसके एहसास से सजी ज़मीं का हिस्सा है, जिसकी छांव में हर दर्द खो जाता है।",Happy,Hindi
Amar a vida é um presente maravilhoso.,Happy,English
"La vida es un viaje, disfruta cada momento.",Stressed,English
"अधूरी शाम का अधूरा किस्सा हूँ में, जो पढ़ा ना गया किताब का वो हिस्सा हूँ में!",Moderately Depressed,Hindi
Encountered some mean-spirited comments online. Dealing with online hate is never easy. ,Moderately Depressed,English
"C’est la saison des fleurs, profitons-en!",Happy,English
Bonjour! Aujourd’hui est une belle journée.,Normal,English
ସମୟ ଓ ଶାନ୍ତି ପ୍ରାପ୍ତ କରିବାର ଆଶା ରହିଛି।,Happy,Hindi
"अपने लक्ष्य पर ध्यान दो, बाकी सब बेकार है।",Stressed,Hindi
Attending a live music concert tonight.            ,Happy,English
हर दिन नई शुरुआत करो।,Severely Depressed,Hindi
प्रकृति का सौंदर्य अमूल्य है।,Happy,Hindi
Hoy me siento lleno de energía y motivación.,Severely Depressed,English
"Bought a new video game, played for hours, forgot to eat. The ultimate gaModerate Depressionld Depressionng session. #GamerLife #NoFoodGaModerate Depressionld Depressionng ",Moderately Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Moderately Depressed,English
Moderate Depressionld Depressionssing an important event due to unforeseen circumstances. A day filled with sadness. ,Moderately Depressed,English
Exploring the universe within during a Moderate Depressionld Depressionndful meditation session. ,Normal,English
Feeling empowered after conquering a challenging hiking trail.     ,Normal,English
हर सुबह खुद को नया पाने की आदत सी हो गई है।,Moderately Depressed,Hindi
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",Happy,English
Having a string of bad luck with constant techNology malfunctions. Tech troubles galore! ,Moderately Depressed,English
Feeling a sense of fear after watching a thriller movie. ,Stressed,English
"खुद को तराशते-तराशते, कुछ अनमोल बन जाऊँगा।",Moderately Depressed,Hindi
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",Moderately Depressed,English
"Curiosity leading me down the rabbit hole of kNowledge, a perpetual student in life's classroom. ",Happy,English
Pride in achieving a personal Moderate Depressionld Depressionlestone.               ,Stressed,English
Tried a magic trick to impress classmates. Magic fail: Where did that rabbit go? ,Stressed,English
कभी-कभी लगता है सब बेकार है।,Happy,Hindi
"Melancholy painting the world in hues of Nostalgia, a canvas of bittersweet memories. ",Moderately Depressed,English
Accidentally liked my crush's old photo while stalking their profile. Awkward level: Maximum! ,Normal,English
The victory of our team brought euphoria to the city. ,Happy,English
Trying out a new study technique for upcoModerate Depressionld Depressionng exams. Exploring different learning strategies. ,Normal,English
ये जंग अभी तक जारी है,Moderately Depressed,Hindi
Amar a vida é um presente maravilhoso.,Happy,English
"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",Stressed,English
Awe-inspired by the vastness of the cosmos on a stargazing night.   ,Severely Depressed,English
हर दिन एक नई शुरुआत है।,Happy,Hindi
"Emotional storm, a whirlwind of sadness engulfs every thought.    ",Moderately Depressed,English
"Sinking like autumn leaves in the river of sorrow, carried away by the current. ",Moderately Depressed,English
"आईना कहता है, मेरी ताकत मेरी मुस्कान में छुपी है।",Severely Depressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"La vida es un viaje, disfruta cada momento.",Normal,English
"Jealousy gnaws at my confidence, a toxic emotion.  ",Happy,English
"Sipping on a favorite vintage wine, each sip telling a story of the years gone by. Cheers to a life well-lived. #WineLover #VintageCheers ",Happy,English
Reverence for the artistry displayed in a museum.      ,Stressed,English
Pride in accomplishing personal and professional goals.  ,Happy,English
Decided to study for exams but ended up making memes about studying instead. Procrastination level: Expert. #ProcrastinationNation #TeenConfessions ,Severely Depressed,English
"La vida es un viaje, disfruta cada momento.",Normal,English
"तुम हमेशा मेरे लिए ख़ास रहोगे, फिर चाहे हमारी बात हो या ना हो !",Moderately Depressed,Hindi
Hoy me siento lleno de energía y motivación.,Stressed,English
OptiModerate Depressionld Depressionsm for a bright future aModerate Depressionld Depressiondst challenging times.           ,Moderately Depressed,English
सूरज की किरण से ज्यादा चमक है मेरी मुस्कान में।,Stressed,Hindi
Decided to learn a new instrument. Day one: Still trying to figure out how to hold it. #MusicNovice #LearningJourney ,Happy,English
Amused by the antics of my pet??t's pure amusement!      ,Happy,English
"Desperation whispers, the silent plea for a glimmer of hope in the abyss. ",Happy,English
वक्त का पता नहीं चलता। ⏳ #यादें,Moderately Depressed,Hindi
