"Captions","Sentiment","Timestamp","User names","Language","Hashtags","Resharess","Likes","Country","Year","Month","Day","Hour","Fatigue","Concentration","Sleep disturbance","Sucidal Ideation","Low energy","Hopelessness","Depression state"
"At the front row of Adele's concert, each note of 'Someone Like You' resonates with soul-stirring emotion. "," Emotion ","9/15/2022"," AdeleConcertGoer ","1"," #Emotion #AdeleConcert ","40","80"," USA ","2022","9","15","20","1","2","2","1","1","1","Minimal Depression"
" Arousal of excitement for an upcoming adventure.       "," Arousal       ","4/30/2017"," AdventureAwaits ","1"," #Arousal #AdventureTime                       ","20","40"," Australia ","2017","4","30","11","1","1","1","1","1","1","No Depression"
" Anticipating a thrilling adventure in the coming weeks. "," Anticipation ","2/17/2023"," AdventureAwaits  ","1"," #Anticipation #Adventure                    ","20","40","USA","2023","2","17","7","1","1","1","1","2","1","No Depression"
"Spontaneously booked a weekend getaway. Adventure awaits! #TravelBug #WeekendEscape "," Excitement ","6/5/2023"," AdventureSeeker ","1"," #GetawayGoals #TeenTravel ","18","35"," UK","2023","6","5","10","1","1","1","1","1","1","No Depression"
" Sending affectionate vibes to all my followers!          "," Affection    ","2/15/2023"," AffectionSender ","1"," #Affection #PositiveVibes                   ","15","30","USA","2023","2","15","16","1","1","1","1","1","1","No Depression"
"In the midst of the Amazon rainforest, a symphony of wildlife creates an orchestra of nature's wonders. "," Wonder ","6/10/2021"," AmazonExplorer ","1"," #Wonder #NatureOrchestra ","30","60"," Brazil ","2021","6","10","16","1","1","1","1","1","1","No Depression"
" An amusing incident brightened up my day!               "," Amusement    ","2/14/2023"," AmusedSoul      ","1"," #Amusement #FunTimes                         ","18","35"," UK           ","2023","2","14","14","1","1","1","1","1","1","No Depression"
"Exploring the ancient ruins of Angkor Wat, each stone whispering stories of Khmer civilization. "," Exploration ","11/22/2016"," AngkorWatAdventurer ","1"," #Exploration #KhmerStories ","20","40"," Cambodia ","2016","11","22","13","1","1","1","1","2","1","No Depression"
" Lost in the vast sea of information, an indifferent wave in the digital ocean. "," Indifference    ","11/28/2022"," ApatheticObserver ","1"," #Indifference #DigitalOverload              ","7","15"," Canada          ","2022","11","28","17","2","2","2","1","2","2","Minimal Depression"
"Curiosity awakened by the mysteries of an ancient archaeological site. "," Curiosity  ","11/8/2015"," ArchaeologyEnthusiast ","1"," #Curiosity #AncientMysteries          ","18","35"," Australia ","2015","11","8","10","1","1","1","1","2","1","Minimal Depression"
" Reverence for the artistry displayed in a museum.      "," Reverence     ","11/11/2020"," ArtAppreciator  ","1"," #Reverence #ArtAppreciation                  ","18","35"," UK        ","2020","11","11","15","1","1","1","1","1","1","No Depression"
"Exploring the vibrant street art of a cultural neighborhood, each mural tells a story, infusing the city with creativity and expression. "," Creativity ","11/5/2017"," ArtEnthusiastStreetArtExploration ","1"," #Creativity #StreetArtVibes ","22","45"," Brazil ","2017","11","5","21","1","1","1","1","1","1","No Depression"
"Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes! "," Happy ","11/10/2015"," ArtExhibitionJoyHighSchool ","1"," #ArtisticExpression #HighSchoolCreativity ","23","44"," USA","2015","11","10","16","1","1","1","1","1","1","No Depression"
" Enthusiasm for a new artistic project in the works.  "," Enthusiasm    ","9/17/2020"," ArtisticSpirit  ","1"," #Enthusiasm #ArtisticProject                 ","15","30"," USA       ","2020","9","17","16","1","1","1","1","1","1","No Depression"
" Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. "," Overwhelmed ","6/25/2021"," AtlasBearer ","1"," #Overwhelmed #BouldersOfExhaustion ","22","44"," Canada ","2021","6","25","17","2","1","1","1","3","2","Minimal Depression"
"Having a bad hair day and feeling self-conscious. Bad hair days can affect confidence. "," Bad ","9/27/2023"," BadHairDayBluesHighSchool ","1"," #BadHairDay #HighSchoolConfidence ","18","36"," Canada","2023","9","27","17","3","2","1","1","2","1","Minimal Depression"
"Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen. "," Neutral ","10/5/2023"," BakeSaleRecipeExperimentHighSchool ","1"," #BakingAdventures #HighSchoolBakes ","21","43"," USA","2023","10","5","14","2","2","1","1","2","1","No Depression"
"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. "," Enthusiasm ","8/5/2018"," BieberDanceEnthusiast ","1"," #Enthusiasm #JustinBieber ","40","80"," Canada ","2018","8","5","20","1","1","1","1","1","1","No Depression"
" Sunday bike ride through scenic trails.           "," Positive  ","3/7/2023"," BikeExplorer  ","1"," #BikeRide #ScenicTrails                ","18","35"," USA     ","2023","2","1","13","2","1","1","2","1","1","No Depression"
" The euphoria of a surprise birthday celebration.     "," Euphoria      ","11/5/2018"," BirthdayJoy     ","1"," #Euphoria #BirthdaySurprise                   ","15","30"," UK   ","2018","11","5","21","1","1","1","1","1","1","No Depression"
"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! "," Happy ","6/22/2018"," BirthdayPartyJoyHighSchool ","1"," #SurpriseCelebration #HighSchoolFriendship ","25","48"," USA","2018","6","22","14","1","1","1","1","1","1","No Depression"
"Celebrating a friend's birthday with a surprise party. Joyful moments and laughter all around! "," Happy ","10/16/2023"," BirthdaySurpriseHighSchool ","1"," #SurpriseParty #HighSchoolCelebration ","27","52"," UK","2023","10","16","15","1","1","1","1","1","1","No Depresseion"
" Resentment building up over past betrayals.        "," Resentment      ","5/22/2018"," BitterHeart       ","1"," #Resentment #Bitterness                       ","7","15"," Australia     ","2018","5","22","14","2","2","2","1","2","2","Minimal Depression"
" Just published a new blog post. Check it out!      "," Positive  ","1/25/2023"," BloggerX     ","1"," #Blogging #NewPost                      ","22","45","USA","2023","1","17","15","1","1","1","1","1","1","No Depression"
" Quiet evening with a good book.                    "," Positive  ","2/11/2023"," BookLover    ","1"," #Reading #QuietTime                     ","15","30"," Australia ","2023","1","23","19","1","1","1","1","1","1","No Depression"
" Serenity found in the pages of a favorite book.        "," Serenity      ","9/22/2011"," BookLover3      ","1"," #Serenity #BookTime                           ","22","45"," UK          ","2011","9","22","19","1","1","1","1","1","1","No Depression"
"Elation over discovering a rare book in a quaint bookstore.      "," Elation       ","9/22/2018"," Bookworm        ","1"," #Elation #RareBookDiscovery              ","40","80"," USA               ","2018","9","22","16","1","1","1","1","1","1","Minimal Depression"
" Excitement for a quiet evening with a good book.        "," Excitement   ","3/1/2023"," BookwormJoy     ","1"," #Excitement #BookTime                       ","18","35"," USA          ","2023","3","1","13","1","1","1","1","1","1","No depression"
" New book release from my favorite author!          "," Positive  ","3/1/2023"," BookwormX    ","1"," #BookRelease #FavoriteAuthor           ","12","25"," UK   ","2023","1","30","15","1","1","1","1","1","1","No Depression"
"Crafting intricate friendship bracelets for the whole squad. Friendship level: Expert weaver! "," Joy ","9/4/2023"," BraceletCraftsmanHighSchool ","1"," #FriendshipBracelets #HighSchoolCrafts ","19","37"," USA","2023","9","4","15","1","1","1","1","1","1","No Depression"
"Contentment envelops as the aroma of freshly baked bread fills the air. "," Contentment ","6/10/2017"," BreadLover     ","1"," #Contentment #FreshBreadAroma          ","28","55"," France          ","2017","6","10","12","1","1","1","1","2","1","Minimal Depression"
" Sunday brunch with friends.                        "," Positive  ","2/9/2023"," BrunchBuddy  ","1"," #Brunch #Friends                       ","15","30"," UK ","2023","1","22","12","1","1","1","1","1","1","No Depresssion"
"Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch. "," Hate ","9/15/2023"," CafeteriaConflictHighSchool ","1"," #CafeteriaDrama #HighSchoolTension ","21","41"," Canada","2023","9","15","14","3","3","3","2","3","3","Moderate Depression"
" Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. "," Melancholy      ","1/5/2020"," CanvasDreamer     ","1"," #Melancholy #BittersweetMemories         ","13","26"," USA          ","2020","1","5","20","3","3","3","2","3","3","Moderate Depression"
"In the embrace of the Grand Canyon, nature's masterpiece, a moment to marvel at Earth's grandeur. "," Awe ","6/15/2020"," CanyonMarveler ","1"," #Awe #EarthsGrandeur ","25","50"," USA ","2020","6","15","16","1","1","1","1","1","1","No Depression"
"Volunteering at a local charity event to give back to the community. Contributing to social causes. "," Neutral ","10/13/2023"," CharityEventVolunteerHighSchool ","1"," #CommunityService #HighSchoolVolunteer ","20","39"," UK","2023","10","13","12","2","2","1","1","2","1","No Depression"
" Compassion in action: supporting a local charity event. "," Compassion    ","7/18/2015"," CharitySupporter","1"," #Compassion #CharityEvent                   ","18","35"," Canada ","2015","7","18","14","1","1","1","1","1","1","No Depression"
" Cooking a special dinner for loved ones.           "," Positive  ","3/4/2023"," ChefAtHome   ","1"," #Cooking #SpecialDinner                ","20","40"," USA       ","2023","1","31","19","1","1","1","1","1","1","No Depression"
